Country/Region,Capital,Continent,Population,Land Area (km^2),,,,
Afghanistan,Kabul,Asia,"38,928,346","652,860",,,,
Albania,Tirana,Europe,"2,877,797","27,400",,,,
Algeria,Algiers,Africa,"43,851,044","2,381,740",,,,
Andorra,Andorra la Vella,Europe,"77,265",470,,,,
Angola,Luanda,Africa,"32,866,272","1,246,700",,,,
Antigua and Barbuda,St. John's,America,"97,929",440,,,,
Argentina,Buenos Aires,America,"45,195,774","2,736,690",,,,
Armenia,Yerevan,Asia,"2,963,243","28,470",,,,
Australia,Canberra,Oceania,"25,499,884","7,682,300",,,,
Austria,Vienna,Europe,"9,006,398","82,409",,,,
Azerbaijan,Baku,Asia,"10,139,177","82,658",,,,
Bahamas,Nassau,America,"393,244","10,010",,,,
Bahrain,Manama,Asia,"1,701,575",760,,,,
Bangladesh,Dhaka,Asia,"164,689,383","130,170",,,,
Barbados,Bridgetown,America,"287,375",430,,,,
Belarus,Minsk,Europe,"9,449,323","202,910",,,,
Belgium,Brussels,Europe,"11,589,623","30,280",,,,
Belize,Belmopan,America,"397,628","22,810",,,,
Benin,Porto Novo,Africa,"12,123,200","112,760",,,,
Bhutan,Thimphu,Asia,"771,608","38,117",,,,
Bolivia,Sucre,America,"11,673,021","1,083,300",,,,
Bosnia and Herzegovina,Sarajevo,Europe,"3,280,819","51,000",,,,
Botswana,Gaborone,Africa,"2,351,627","566,730",,,,
Brazil,Brasilia,America,"212,559,417","8,358,140",,,,
Brunei,Bandar Seri Begawan,Asia,"437,479","5,270",,,,
Bulgaria,Sofia,Europe,"6,948,445","108,560",,,,
Burkina Faso,Ouagadougou,Africa,"20,903,273","273,600",,,,
Burundi,Bujumbura,Africa,"11,890,784","25,680",,,,
Cape Verde,Praia,Africa,"555,987","4,030",,,,
Cambodia,Phnom Penh,Asia,"16,718,965","176,520",,,,
Cameroon,Yaoundé,Africa,"26,545,863","472,710",,,,
Canada,Ottawa,America,"37,742,154","9,093,510",,,,
Central African Republic,Bangui,Africa,"4,829,767","622,980",,,,
Chad,N'Djamena,Africa,"16,425,864","1,259,200",,,,
Chile,Santiago,America,"19,116,201","743,532",,,,
China,Beijing,Asia,"1,439,323,776","9,388,211",,,,
Colombia,Bogota,America,"50,882,891","1,109,500",,,,
Comoros,Moroni,Africa,"869,601","1,861",,,,
Congo,Brazzaville,Africa,"5,518,087","341,500",,,,
Costa Rica,San José,America,"5,094,118","51,060",,,,
Croatia,Zagreb,Europe,"4,105,267","55,960",,,,
Cuba,Havana,America,"11,326,616","106,440",,,,
Cyprus,Nicosia,Europe,"1,207,359","9,240",,,,
Czech Republic,Prague,Europe,"10,708,981","77,240",,,,
Democratic Republic of Congo,Kinshasa,Africa,"26,378,274","318,000",,,,
Denmark,Copenagen,Europe,"5,792,202","42,430",,,,
Djibouti,Djibouti,Africa,"988,000","23,180",,,,
Dominica,Roseau,America,"71,986",750,,,,
Dominican Republic,Santo Domingo,America,"10,847,910","48,320",,,,
DR Congo,Kinshasa,Africa,"89,561,403","2,267,050",,,,
Ecuador,Quito,America,"17,643,054","248,360",,,,
Egypt,Cairo,Africa,"102,334,404","995,450",,,,
El Salvador,San Salvador,America,"6,486,205","20,720",,,,
Equatorial Guinea,Malabo,Africa,"1,402,985","28,050",,,,
Eritrea,Asmara,Africa,"3,546,421","101,000",,,,
Estonia,Tallinn,Europe,"1,326,535","42,390",,,,
Eswatini,Mbabane,Africa,"1,160,164","17,200",,,,
Ethiopia,Addis Ababa,Africa,"114,963,588","1,000,000",,,,
Fiji,Suva,Oceania,"896,445","18,270",,,,
Finland,Helsinki,Europe,"5,540,720","303,890",,,,
France,Paris,Europe,"65,273,511","547,557",,,,
Gabon,Libreville,Africa,"2,225,734","257,670",,,,
Gambia,Banjul,Africa,"2,416,668","10,120",,,,
Georgia,Tbilisi,Asia,"3,989,167","69,490",,,,
Germany,Berlin,Europe,"83,783,942","348,560",,,,
Ghana,Accra,Africa,"31,072,940","227,540",,,,
Greece,Athens,Europe,"10,423,054","128,900",,,,
Grenada,St. George's,America,"112,523",340,,,,
Guatemala,Guatemala City,America,"17,915,568","107,160",,,,
Guinea,Conakry,Africa,"13,132,795","245,720",,,,
Guinea-Bissau,Bissau,Africa,"1,968,001","28,120",,,,
